,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
ID_Num,1.0,0.06361807906831173,0.0714427659882255,0.05843179213727394,0.034951241349823414,0.048313775708690145,0.052766099302178626,0.026595393037790824,0.03873732504466818,0.053166347550297345,0.058570025946800074,0.06927336031878793,0.08911168221550533,1.0
Up1,0.06361807906831173,1.0,0.7508810198084762,0.6902588719147749,0.12827742055635408,0.1919234742723025,0.24559066086845296,0.021123710093092232,0.01884965622600831,0.02708627013615214,0.7408080576727566,0.5997467630872141,0.2559101604939053,0.06361807906831173
Up2,0.0714427659882255,0.7508810198084762,1.0,0.6621967910057273,0.16605909281133224,0.23208704077768105,0.2832739356679024,0.02058351071703735,0.018767260940561317,0.026708535898631907,0.707691528518781,0.5495343229283683,0.274569178185288,0.0714427659882255
Up3,0.05843179213727394,0.6902588719147749,0.6621967910057273,1.0,0.24119732697086513,0.3275956067360002,0.34263380519368924,0.02104088932221913,0.019010058461840354,0.02934498815533178,0.8695188854275309,0.6708431037375133,0.4158038391467348,0.05843179213727394
Dow1,0.034951241349823414,0.12827742055635408,0.16605909281133224,0.24119732697086513,1.0,0.7522195566448387,0.715282583384061,0.01756872404456487,0.016370998043318097,0.020741050185550076,0.3255455506046113,0.28481095326255557,0.29809624996234824,0.034951241349823414
Dow2,0.048313775708690145,0.1919234742723025,0.23208704077768105,0.3275956067360002,0.7522195566448387,1.0,0.6999972619609759,0.01821993348532154,0.01684328197784639,0.023839668090441496,0.3926744839946084,0.38775815726559876,0.3606582262770325,0.048313775708690145
Dow3,0.052766099302178626,0.24559066086845296,0.2832739356679024,0.34263380519368924,0.715282583384061,0.6999972619609759,1.0,0.017750397458687762,0.016685915560112827,0.023427922592593103,0.4383868755707112,0.4554127798912409,0.39486086891324895,0.052766099302178626
Sed1,0.026595393037790824,0.021123710093092232,0.02058351071703735,0.02104088932221913,0.01756872404456487,0.01821993348532154,0.017750397458687762,1.0,0.7182295301211086,0.4136662964413174,0.021187074418010328,0.02160148386340165,0.024350326861666292,0.026595393037790824
Sed2,0.03873732504466818,0.01884965622600831,0.018767260940561317,0.019010058461840354,0.016370998043318097,0.01684328197784639,0.016685915560112827,0.7182295301211086,1.0,0.8219774035133172,0.01797404643790808,0.018221965242719036,0.02583302709680966,0.03873732504466818
Sed3,0.053166347550297345,0.02708627013615214,0.026708535898631907,0.02934498815533178,0.020741050185550076,0.023839668090441496,0.023427922592593103,0.4136662964413174,0.8219774035133172,1.0,0.026583948478213427,0.027981959703758084,0.04396996500980964,0.053166347550297345
Hil1,0.058570025946800074,0.7408080576727566,0.707691528518781,0.8695188854275309,0.3255455506046113,0.3926744839946084,0.4383868755707112,0.021187074418010328,0.01797404643790808,0.026583948478213427,1.0,0.8052826373021282,0.44906142330919335,0.058570025946800074
Hil2,0.06927336031878793,0.5997467630872141,0.5495343229283683,0.6708431037375133,0.28481095326255557,0.38775815726559876,0.4554127798912409,0.02160148386340165,0.018221965242719036,0.027981959703758084,0.8052826373021282,1.0,0.6116728545869441,0.06927336031878793
Hil3,0.08911168221550533,0.2559101604939053,0.274569178185288,0.4158038391467348,0.29809624996234824,0.3606582262770325,0.39486086891324895,0.024350326861666292,0.02583302709680966,0.04396996500980964,0.44906142330919335,0.6116728545869441,1.0,0.08911168221550533
OTU_ID,1.0,0.06361807906831173,0.0714427659882255,0.05843179213727394,0.034951241349823414,0.048313775708690145,0.052766099302178626,0.026595393037790824,0.03873732504466818,0.053166347550297345,0.058570025946800074,0.06927336031878793,0.08911168221550533,1.0
