,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
Sample,1.0,0.017417184315877823,0.074634779043622,0.019920962292375756,0.018758982163637188,0.05745166694331302,0.029585304208111923,0.05165687154820426,0.01630782833057932,0.10939909280123979
moisture_content,0.017417184315877823,1.0,0.16548069519875439,0.5177736347108521,0.6421476898712105,0.08875208137649372,0.2343987877605506,0.19668057162230518,0.29055468418590336,0.150486468468834
pH,0.074634779043622,0.16548069519875439,1.0,0.2797660599782123,0.3180315480893784,0.10701553064335419,0.25016017264800067,0.11706289852760557,0.23201094798861135,0.020702502505899563
N_prop,0.019920962292375756,0.5177736347108521,0.2797660599782123,1.0,0.9355099504748395,0.02814337131105991,0.5169987588823369,0.452181156289768,0.2131287837966721,0.35091748789563004
C_prop,0.018758982163637188,0.6421476898712105,0.3180315480893784,0.9355099504748395,1.0,0.06037745361617429,0.39893093506524224,0.39561567673873504,0.25095940945932327,0.2694613152098019
NH4N_prop,0.05745166694331302,0.08875208137649372,0.10701553064335419,0.02814337131105991,0.06037745361617429,1.0,0.04197200499771651,0.07549468862847725,0.3074170895816171,0.016571292858852733
Si04Si_prop,0.029585304208111923,0.2343987877605506,0.25016017264800067,0.5169987588823369,0.39893093506524224,0.04197200499771651,1.0,0.23550539139782808,0.10753745840209844,0.1297111795584903
N02N_prop,0.05165687154820426,0.19668057162230518,0.11706289852760557,0.452181156289768,0.39561567673873504,0.07549468862847725,0.23550539139782808,1.0,0.19527750872315863,0.2921166903432521
PO4P_prop,0.01630782833057932,0.29055468418590336,0.23201094798861135,0.2131287837966721,0.25095940945932327,0.3074170895816171,0.10753745840209844,0.19527750872315863,1.0,0.168174661931065
NO3N_prop,0.10939909280123979,0.150486468468834,0.020702502505899563,0.35091748789563004,0.2694613152098019,0.016571292858852733,0.1297111795584903,0.2921166903432521,0.168174661931065,1.0
