,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
Sample,1.0,0.0769516247640799,0.03251304295121379,0.11495539920886501,0.07896340894880371,0.05848676846120449,0.07893393230617499,0.45598476987850517,0.032438062897581145,0.31284111559202465
moisture_content,0.0769516247640799,1.0,0.5686023415149613,0.5711990161067922,0.574605814756656,0.8197876889590493,0.7220521580451503,0.03568365062794521,0.1949580830543208,0.017803648821512492
pH,0.03251304295121379,0.5686023415149613,1.0,0.2727489903785974,0.3118528229328296,0.4740336016234869,0.345100384256415,0.15092775595308694,0.13916980672744117,0.06526339141951172
N_prop,0.11495539920886501,0.5711990161067922,0.2727489903785974,1.0,0.9773522214636643,0.43112700989487596,0.358281786166814,0.02095698741973276,0.03418026911178924,0.035401453265307616
C_prop,0.07896340894880371,0.574605814756656,0.3118528229328296,0.9773522214636643,1.0,0.444620279172168,0.35828534678586493,0.020700169938296778,0.031467867847357105,0.023416503125638716
NH4N_prop,0.05848676846120449,0.8197876889590493,0.4740336016234869,0.43112700989487596,0.444620279172168,1.0,0.9612497809534675,0.05889423324041252,0.3305226175360406,0.050751491421840274
Si04Si_prop,0.07893393230617499,0.7220521580451503,0.345100384256415,0.358281786166814,0.35828534678586493,0.9612497809534675,1.0,0.04360645259089269,0.40225501898799665,0.04380368483419105
N02N_prop,0.45598476987850517,0.03568365062794521,0.15092775595308694,0.02095698741973276,0.020700169938296778,0.05889423324041252,0.04360645259089269,1.0,0.02757034411622464,0.6506260106349598
PO4P_prop,0.032438062897581145,0.1949580830543208,0.13916980672744117,0.03418026911178924,0.031467867847357105,0.3305226175360406,0.40225501898799665,0.02757034411622464,1.0,0.026098401793731577
NO3N_prop,0.31284111559202465,0.017803648821512492,0.06526339141951172,0.035401453265307616,0.023416503125638716,0.050751491421840274,0.04380368483419105,0.6506260106349598,0.026098401793731577,1.0
