,min,max,range,median,mean,var,sd,se
0,1,1980,1,990.5,990.5,326865.0,571.7210858451873,12.848475914805357
1,1,1980,1980,990.5,990.5,326865.0,571.7210858451873,12.848475914805357
2,0,2379,0,3.0,17.585353535353537,6489.905293204914,80.55994844341024,1.8104502053531017
3,0,2379,2379,3.0,17.585353535353537,6489.905293204914,80.55994844341024,1.8104502053531017
4,0,1740,0,3.0,18.038888888888888,5741.479537926001,75.77255134892847,1.7028614565978841
5,0,1740,1740,3.0,18.038888888888888,5741.479537926001,75.77255134892847,1.7028614565978841
6,0,2215,0,3.0,18.715151515151515,8409.112352427765,91.7012123825403,2.060831492534041
7,0,2215,2215,3.0,18.715151515151515,8409.112352427765,91.7012123825403,2.060831492534041
8,0,7254,0,2.0,19.583838383838383,29839.009137356385,172.73971499732303,3.882036403104494
9,0,7254,7254,2.0,19.583838383838383,29839.009137356385,172.73971499732303,3.882036403104494
10,0,3833,0,3.0,18.944444444444443,12025.513839761945,109.66090387992406,2.4644455437813204
11,0,3833,3833,3.0,18.944444444444443,12025.513839761945,109.66090387992406,2.4644455437813204
12,0,3119,0,3.0,17.725757575757576,7897.247138132207,88.86645676593731,1.9971250976396862
13,0,3119,3119,3.0,17.725757575757576,7897.247138132207,88.86645676593731,1.9971250976396862
14,0,11529,0,2.0,18.113131313131312,69633.47077240316,263.8815468584402,5.9302967532849316
15,0,11529,11529,2.0,18.113131313131312,69633.47077240316,263.8815468584402,5.9302967532849316
16,0,4808,0,1.0,16.04090909090909,16109.771443336855,126.9242744447919,2.8524109457975166
17,0,4808,4808,1.0,16.04090909090909,16109.771443336855,126.9242744447919,2.8524109457975166
18,0,2553,0,2.0,15.658080808080808,7450.361556698874,86.31547692447093,1.939796089030915
19,0,2553,2553,2.0,15.658080808080808,7450.361556698874,86.31547692447093,1.939796089030915
20,0,2077,0,3.0,17.92676767676768,7448.101253821694,86.30238266595943,1.9395018174546645
21,0,2077,2077,3.0,17.92676767676768,7448.101253821694,86.30238266595943,1.9395018174546645
22,0,1640,0,4.0,18.025252525252526,5363.161565120636,73.2336095322403,1.6458029824774394
23,0,1640,1640,4.0,18.025252525252526,5363.161565120636,73.2336095322403,1.6458029824774394
24,0,1194,0,4.0,17.28989898989899,3023.73703788772,54.98851732759959,1.2357750273108417
25,0,1194,1194,4.0,17.28989898989899,3023.73703788772,54.98851732759959,1.2357750273108417
26,1,1980,1,990.5,990.5,326865.0,571.7210858451873,12.848475914805357
27,1,1980,1980,990.5,990.5,326865.0,571.7210858451873,12.848475914805357
