,min,max,range,median,mean,var,sd,se
0,1.0,24.0,1.0,12.5,12.5,50.0,7.0710678118654755,1.4433756729740645
1,1.0,24.0,24.0,12.5,12.5,50.0,7.0710678118654755,1.4433756729740645
2,0.0784902237,0.5632518369,0.0784902237,0.11935689745,0.17357865725833332,0.020424160178023506,0.14291312108418705,0.029172018683737214
3,0.0784902237,0.5632518369,0.5632518369,0.11935689745,0.17357865725833332,0.020424160178023506,0.14291312108418705,0.029172018683737214
4,7.11,8.51,7.11,7.99,7.917916666666667,0.14900851449275368,0.38601621014246756,0.07879522894100084
5,7.11,8.51,8.51,7.99,7.917916666666667,0.14900851449275368,0.38601621014246756,0.07879522894100084
6,0.0,0.939,0.0,0.09,0.128,0.03909939130434782,0.19773566017374766,0.040362622614837924
7,0.0,0.939,0.939,0.09,0.128,0.03909939130434782,0.19773566017374766,0.040362622614837924
8,0.11,11.81,0.11,0.775,1.502875,5.950995505434783,2.439466233714823,0.49795395977919754
9,0.11,11.81,11.81,0.775,1.502875,5.950995505434783,2.439466233714823,0.49795395977919754
10,0.5,110.2247,0.5,1.87,13.127045833333334,964.7895358921558,31.061061409619533,6.340312610235121
11,0.5,110.2247,110.2247,1.87,13.127045833333334,964.7895358921558,31.061061409619533,6.340312610235121
12,1.43,68.8848,1.43,4.299300000000001,10.268324999999999,298.643540775,17.281306107323022,3.5275318376486697
13,1.43,68.8848,68.8848,4.299300000000001,10.268324999999999,298.643540775,17.281306107323022,3.5275318376486697
14,0.01,1.0574,0.01,0.12254999999999999,0.3233916666666667,0.1274106729710145,0.3569463166514182,0.0728613617801571
15,0.01,1.0574,1.0574,0.12254999999999999,0.3233916666666667,0.1274106729710145,0.3569463166514182,0.0728613617801571
16,0.0,1.7109,0.0,0.01,0.08775000000000001,0.12000362260869567,0.3464153902595779,0.07071174543192232
17,0.0,1.7109,1.7109,0.01,0.08775000000000001,0.12000362260869567,0.3464153902595779,0.07071174543192232
18,0.01,4.2031,0.01,0.48,0.7274375,0.8748631589673913,0.9353411992248557,0.19092572279198344
19,0.01,4.2031,4.2031,0.48,0.7274375,0.8748631589673913,0.9353411992248557,0.19092572279198344
