,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
0,1,0.1013647033,8.01,0.1,0.761,1.4757,4.5912,0.7598,0.0391,1.3986
1,2,0.3122087376,7.75,0.388,4.334,5.264,4.6018,1.0574,0.058,4.2031
2,3,0.1000087907,8.22,0.065,0.542,2.4984,4.3086,1.0132,0.0313,2.206
3,4,0.104475949,8.51,0.092,0.855,1.671,8.9032,0.574,0.0102,1.009
4,5,0.0943578672,8.46,0.059,0.584,1.5392,10.1189,0.7466,0.0078,1.5028
5,6,0.086763228,8.44,0.101,0.437,1.9604,9.8361,0.6931,0.0,1.0359
6,7,0.5632518369,7.11,0.939,11.81,102.2819,55.4504,0.0605,0.0195,0.1063
7,8,0.4838499609,7.18,0.285,3.487,60.0026,32.7891,0.0368,0.0,0.069
8,9,0.5206025698,7.12,0.244,2.791,110.2247,68.8848,0.0951,1.7109,0.1882
9,10,0.1429804281,8.15,0.136,1.382,3.5006,5.0044,0.6558,0.0874,0.7479
10,11,0.1351771472,8.14,0.095,0.697,2.5137,4.002,0.7636,0.0279,1.1862
11,12,0.1490904994,8.05,0.078,0.789,3.0769,3.7293,0.4355,0.0239,0.7455
12,13,0.1058387414,8.13,0.0,0.25,1.15,4.36,0.03,0.0,0.2
13,14,0.1075899749,8.22,0.0,0.21,0.93,3.11,0.03,0.0,0.2
14,15,0.0784902237,8.11,0.0,0.16,1.39,4.5,0.06,0.0,0.44
15,16,0.1644567967,7.62,0.13,1.53,2.85,1.43,0.23,0.04,0.62
16,17,0.1126424263,7.68,0.1,1.16,1.85,1.75,0.15,0.01,0.52
17,18,0.1007412571,7.85,0.0,0.12,0.75,2.19,0.04,0.0,0.03
18,19,0.1371683217,7.63,0.09,1.18,0.94,2.25,0.04,0.0,0.06
19,20,0.1260713686,7.97,0.08,1.0,1.89,2.32,0.22,0.0,0.3
20,21,0.1425278491,8.03,0.09,1.06,0.5,1.85,0.04,0.01,0.62
21,22,0.0812165321,7.91,0.0,0.11,1.27,3.11,0.01,0.01,0.05
22,23,0.128445317,7.84,0.0,0.51,4.08,4.29,0.01,0.02,0.01
23,24,0.0865672475,7.9,0.0,0.31,1.44,3.06,0.01,0.0,0.01
