,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
ID_Num,1.0,-0.4570483417570894,-0.2926844156191286,-0.4176285820203459,-0.5263482583795046,-0.5352534671515313,-0.4717619075576743,-0.4210153253074765,-0.4215687325970598,-0.41595776663844974,-0.4351248049080967,-0.43600742487490063,-0.33066219389350654,1.0
Up1,-0.4570483417570894,1.0,0.7301188299318935,0.7822995404897806,0.583165808528546,0.5463246313616531,0.530852375833488,-0.01620063744835523,0.08806203540240543,0.07776082116186608,0.7103185621164531,0.6858888482829105,0.7045769326546678,-0.4570483417570894
Up2,-0.2926844156191286,0.7301188299318935,1.0,0.7398571974221974,0.49633863388006283,0.41869440309176165,0.47631917129540635,-0.13834465672403323,-0.02575541814312619,-0.06610233410018565,0.6019708658002536,0.549745514644477,0.646036285267804,-0.2926844156191286
Up3,-0.4176285820203459,0.7822995404897806,0.7398571974221974,1.0,0.586513466772343,0.5136909298968737,0.47943760472305147,-0.03595179876701977,0.06075070531981525,0.060680503808643364,0.6941137901820317,0.694167702253949,0.7192931242889369,-0.4176285820203459
Dow1,-0.5263482583795046,0.583165808528546,0.49633863388006283,0.586513466772343,1.0,0.7352924826340176,0.685615666293175,0.04346378700791029,0.06650925272685965,0.06627425937631957,0.5523868643022845,0.4982026595379091,0.5501350378208059,-0.5263482583795046
Dow2,-0.5352534671515313,0.5463246313616531,0.41869440309176165,0.5136909298968737,0.7352924826340176,1.0,0.6590393527414946,0.09435300709774636,0.028633987070903758,0.08854408886387076,0.4995018169675774,0.43267026320335233,0.47603996258830755,-0.5352534671515313
Dow3,-0.4717619075576743,0.530852375833488,0.47631917129540635,0.47943760472305147,0.685615666293175,0.6590393527414946,1.0,0.0980457600545791,0.04977853672391181,0.07076409681198406,0.5431760909643772,0.3782684755534232,0.46760806256729304,-0.4717619075576743
Sed1,-0.4210153253074765,-0.01620063744835523,-0.13834465672403323,-0.03595179876701977,0.04346378700791029,0.09435300709774636,0.0980457600545791,1.0,0.7381114149986231,0.7091392462079209,0.005942118498257729,0.06212382470380752,-0.14677821369522076,-0.4210153253074765
Sed2,-0.4215687325970598,0.08806203540240543,-0.02575541814312619,0.06075070531981525,0.06650925272685965,0.028633987070903758,0.04977853672391181,0.7381114149986231,1.0,0.7750674620080754,0.1287860828307889,0.19726822361866758,-0.023849653416089304,-0.4215687325970598
Sed3,-0.41595776663844974,0.07776082116186608,-0.06610233410018565,0.060680503808643364,0.06627425937631957,0.08854408886387076,0.07076409681198406,0.7091392462079209,0.7750674620080754,1.0,0.15432902899707035,0.19341343059615157,-0.017012200234658912,-0.41595776663844974
Hil1,-0.4351248049080967,0.7103185621164531,0.6019708658002536,0.6941137901820317,0.5523868643022845,0.4995018169675774,0.5431760909643772,0.005942118498257729,0.1287860828307889,0.15432902899707035,1.0,0.7301409418841039,0.7513016076789019,-0.4351248049080967
Hil2,-0.43600742487490063,0.6858888482829105,0.549745514644477,0.694167702253949,0.4982026595379091,0.43267026320335233,0.3782684755534232,0.06212382470380752,0.19726822361866758,0.19341343059615157,0.7301409418841039,1.0,0.7723724326472746,-0.43600742487490063
Hil3,-0.33066219389350654,0.7045769326546678,0.646036285267804,0.7192931242889369,0.5501350378208059,0.47603996258830755,0.46760806256729304,-0.14677821369522076,-0.023849653416089304,-0.017012200234658912,0.7513016076789019,0.7723724326472746,1.0,-0.33066219389350654
OTU_ID,1.0,-0.4570483417570894,-0.2926844156191286,-0.4176285820203459,-0.5263482583795046,-0.5352534671515313,-0.4717619075576743,-0.4210153253074765,-0.4215687325970598,-0.41595776663844974,-0.4351248049080967,-0.43600742487490063,-0.33066219389350654,1.0
