,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
Sample,1.0,-0.14347826086956522,-0.2874538010984502,-0.5442980126472741,-0.32869565217391306,-0.41391304347826086,-0.7210263271123002,-0.7566993411698958,-0.4121331585898023,-0.7339570847226756
moisture_content,-0.14347826086956522,1.0,-0.5736029707244414,0.7050332671911697,0.8573913043478261,0.6295652173913043,0.14916286501780396,0.10411695022429769,0.4756070290016808,-0.014357192528659335
pH,-0.2874538010984502,-0.5736029707244414,1.0,-0.3801224379168675,-0.5205479575111118,-0.3548597605088281,0.13244889082209657,0.3453164286354303,-0.12965792491803624,0.543733732944241
N_prop,-0.5442980126472741,0.7050332671911697,-0.3801224379168675,1.0,0.8829429735904405,0.6808128863694868,0.41844300813560154,0.5109497731454339,0.5192974239965471,0.36332255385326057
C_prop,-0.32869565217391306,0.8573913043478261,-0.5205479575111118,0.8829429735904405,1.0,0.6452173913043479,0.24744510260970978,0.34110281182269914,0.490804997973539,0.20491629336359232
NH4N_prop,-0.41391304347826086,0.6295652173913043,-0.3548597605088281,0.6808128863694868,0.6452173913043479,1.0,0.547510341275263,0.3650627794475375,0.6061307625246984,0.17402657610496164
Si04Si_prop,-0.7210263271123002,0.14916286501780396,0.13244889082209657,0.41844300813560154,0.24744510260970978,0.547510341275263,1.0,0.29825753362896157,0.22578362787451137,0.25348131207684704
N02N_prop,-0.7566993411698958,0.10411695022429769,0.3453164286354303,0.5109497731454339,0.34110281182269914,0.3650627794475375,0.29825753362896157,1.0,0.5473047480391803,0.9189197047033806
PO4P_prop,-0.4121331585898023,0.4756070290016808,-0.12965792491803624,0.5192974239965471,0.490804997973539,0.6061307625246984,0.22578362787451137,0.5473047480391803,1.0,0.4616042026550804
NO3N_prop,-0.7339570847226756,-0.014357192528659335,0.543733732944241,0.36332255385326057,0.20491629336359232,0.17402657610496164,0.25348131207684704,0.9189197047033806,0.4616042026550804,1.0
