,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
ID_Num,1.0,-0.16024240963050876,-0.06119906056903938,-0.17314259475813443,-0.05226196205791165,-0.11358060822739362,-0.05625828280804241,-0.31561621073232965,-0.19806764222680184,-0.2735802632705763,-0.09869674953746768,-0.08488706462060146,-0.15435261039043782,1.0
Up1,-0.16024240963050876,1.0,0.8933797123166799,0.8632280113563924,0.6848070452515133,0.7334990114333683,0.8382875963814443,-0.32762042962112814,-0.5526202586136766,-0.5359340391411557,0.8938088886772396,0.874452526173547,0.4354260597836186,-0.16024240963050876
Up2,-0.06119906056903938,0.8933797123166799,1.0,0.8799101526058308,0.7419142399041297,0.745266374499518,0.8132006013492357,-0.4277075064346639,-0.5349563724326537,-0.5333948841681013,0.905530098324116,0.8769670954442207,0.4171872613563095,-0.06119906056903938
Up3,-0.17314259475813443,0.8632280113563924,0.8799101526058308,1.0,0.8189437951569898,0.8621260493188283,0.8374561634078336,-0.41506269953779135,-0.5352361993070973,-0.43517322031550554,0.940631333383655,0.9263898691442358,0.5532854357498572,-0.17314259475813443
Dow1,-0.05226196205791165,0.6848070452515133,0.7419142399041297,0.8189437951569898,1.0,0.9704575112648794,0.877074753525521,-0.46007027956595203,-0.5575963331750993,-0.4753272224260797,0.8436027833013914,0.8427013628361348,0.6255455282083843,-0.05226196205791165
Dow2,-0.11358060822739362,0.7334990114333683,0.745266374499518,0.8621260493188283,0.9704575112648794,1.0,0.9032128682455636,-0.428961554628564,-0.5395811999962334,-0.4484932254631808,0.8678675734688611,0.884739437166926,0.6578344837943114,-0.11358060822739362
Dow3,-0.05625828280804241,0.8382875963814443,0.8132006013492357,0.8374561634078336,0.877074753525521,0.9032128682455636,1.0,-0.3984848489791644,-0.5198675124542455,-0.4863878285013053,0.8807911900208907,0.9318263375831236,0.6234075995617758,-0.05625828280804241
Sed1,-0.31561621073232965,-0.32762042962112814,-0.4277075064346639,-0.41506269953779135,-0.46007027956595203,-0.428961554628564,-0.3984848489791644,1.0,0.8805226008244551,0.8407618893777176,-0.4544940446501664,-0.3819714914424469,0.11979936014811594,-0.31561621073232965
Sed2,-0.19806764222680184,-0.5526202586136766,-0.5349563724326537,-0.5352361993070973,-0.5575963331750993,-0.5395811999962334,-0.5198675124542455,0.8805226008244551,1.0,0.9317762402296408,-0.5767448902321207,-0.509758043178586,0.005077938713351583,-0.19806764222680184
Sed3,-0.2735802632705763,-0.5359340391411557,-0.5333948841681013,-0.43517322031550554,-0.4753272224260797,-0.4484932254631808,-0.4863878285013053,0.8407618893777176,0.9317762402296408,1.0,-0.5360353948565331,-0.4575649169136858,0.08458331435309875,-0.2735802632705763
Hil1,-0.09869674953746768,0.8938088886772396,0.905530098324116,0.940631333383655,0.8436027833013914,0.8678675734688611,0.8807911900208907,-0.4544940446501664,-0.5767448902321207,-0.5360353948565331,1.0,0.9451663757438216,0.46239785086546337,-0.09869674953746768
Hil2,-0.08488706462060146,0.874452526173547,0.8769670954442207,0.9263898691442358,0.8427013628361348,0.884739437166926,0.9318263375831236,-0.3819714914424469,-0.509758043178586,-0.4575649169136858,0.9451663757438216,1.0,0.5968198683329418,-0.08488706462060146
Hil3,-0.15435261039043782,0.4354260597836186,0.4171872613563095,0.5532854357498572,0.6255455282083843,0.6578344837943114,0.6234075995617758,0.11979936014811594,0.005077938713351583,0.08458331435309875,0.46239785086546337,0.5968198683329418,1.0,-0.15435261039043782
OTU_ID,1.0,-0.16024240963050876,-0.06119906056903938,-0.17314259475813443,-0.05226196205791165,-0.11358060822739362,-0.05625828280804241,-0.31561621073232965,-0.19806764222680184,-0.2735802632705763,-0.09869674953746768,-0.08488706462060146,-0.15435261039043782,1.0
