,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
ID_Num,1.0,-0.3544171340426437,-0.24665257158545406,-0.3811340808768624,-0.26306870413821953,-0.3188747000327562,-0.29754758793768804,-0.26622758843075156,-0.3340118381391218,-0.387106826200403,-0.34604898353050334,-0.35419372099686103,-0.34527382827969894,1.0
Up1,-0.3544171340426437,1.0,0.8426264271563143,0.831749838856454,0.2949096009463427,0.34932930950320146,0.4461505837897667,-0.08497345864045093,-0.20279217298803684,-0.2174614696412916,0.8463134787460451,0.8242154104697041,0.5449136674762587,-0.3544171340426437
Up2,-0.24665257158545406,0.8426264271563143,1.0,0.8626679796165219,0.4142670530551105,0.4503785990409806,0.5194781264210475,-0.10219944044729722,-0.22998787678956345,-0.24705665955841538,0.8864185458027642,0.850947157622458,0.6322304966138985,-0.24665257158545406
Up3,-0.3811340808768624,0.831749838856454,0.8626679796165219,1.0,0.5654014748986751,0.6224644644133014,0.6457970813006739,-0.0711610970639495,-0.18073689402633558,-0.171086546030437,0.970930233825461,0.9437711419839147,0.8058504440975122,-0.3811340808768624
Dow1,-0.26306870413821953,0.2949096009463427,0.4142670530551105,0.5654014748986751,1.0,0.9189321859480181,0.9326835949779667,-0.0451967916378695,-0.0985364183204305,-0.0955440125278405,0.6398344788903827,0.6445890481113605,0.793981011455999,-0.26306870413821953
Dow2,-0.3188747000327562,0.34932930950320146,0.4503785990409806,0.6224644644133014,0.9189321859480181,1.0,0.8770674329146476,-0.06671136568857144,-0.1416716648715633,-0.14016773388333034,0.6691184833460864,0.7014784212059997,0.791043490977332,-0.3188747000327562
Dow3,-0.29754758793768804,0.4461505837897667,0.5194781264210475,0.6457970813006739,0.9326835949779667,0.8770674329146476,1.0,-0.08005982402711437,-0.1573183346069146,-0.15644996530327482,0.7185510212629924,0.7738126836643383,0.85121750390312,-0.29754758793768804
Sed1,-0.26622758843075156,-0.08497345864045093,-0.10219944044729722,-0.0711610970639495,-0.0451967916378695,-0.06671136568857144,-0.08005982402711437,1.0,0.9087284383811132,0.7496819860148143,-0.07549856367535811,-0.08049416457534565,-0.0744089961879855,-0.26622758843075156
Sed2,-0.3340118381391218,-0.20279217298803684,-0.22998787678956345,-0.18073689402633558,-0.0985364183204305,-0.1416716648715633,-0.1573183346069146,0.9087284383811132,1.0,0.9427133457220157,-0.19336264880748485,-0.19683239298714283,-0.15106260901966231,-0.3340118381391218
Sed3,-0.387106826200403,-0.2174614696412916,-0.24705665955841538,-0.171086546030437,-0.0955440125278405,-0.14016773388333034,-0.15644996530327482,0.7496819860148143,0.9427133457220157,1.0,-0.19398200661854714,-0.19185030534338784,-0.11531410718139952,-0.387106826200403
Hil1,-0.34604898353050334,0.8463134787460451,0.8864185458027642,0.970930233825461,0.6398344788903827,0.6691184833460864,0.7185510212629924,-0.07549856367535811,-0.19336264880748485,-0.19398200661854714,1.0,0.9705216030112536,0.8195767844145216,-0.34604898353050334
Hil2,-0.35419372099686103,0.8242154104697041,0.850947157622458,0.9437711419839147,0.6445890481113605,0.7014784212059997,0.7738126836643383,-0.08049416457534565,-0.19683239298714283,-0.19185030534338784,0.9705216030112536,1.0,0.8634887344295699,-0.35419372099686103
Hil3,-0.34527382827969894,0.5449136674762587,0.6322304966138985,0.8058504440975122,0.793981011455999,0.791043490977332,0.85121750390312,-0.0744089961879855,-0.15106260901966231,-0.11531410718139952,0.8195767844145216,0.8634887344295699,1.0,-0.34527382827969894
OTU_ID,1.0,-0.3544171340426437,-0.24665257158545406,-0.3811340808768624,-0.26306870413821953,-0.3188747000327562,-0.29754758793768804,-0.26622758843075156,-0.3340118381391218,-0.387106826200403,-0.34604898353050334,-0.35419372099686103,-0.34527382827969894,1.0
