,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
Sample,13.0,-0.0017334109696172226,-0.21136363636363684,-0.007821487830271985,0.057287183670092334,0.8748334527089071,-0.4327413564885932,-0.06272197705207419,0.00029164904862577767,-0.33006844768712107
moisture_content,-0.0017334109696172226,0.0006930268018436093,-0.0024978368228912836,0.0010950413684113582,0.01159641148836647,0.008848925921386403,-0.01605425336309099,0.0010905730890225227,0.00018682347366406692,0.0028848131992582986
pH,-0.21136363636363684,-0.0024978368228912836,0.038765909090909136,-0.006383261036320184,-0.06597034847790327,-0.07452316056014695,0.12367638446197607,-0.006194165931156239,-0.001263908668076112,-0.002258763465267049
N_prop,-0.007821487830271985,0.0010950413684113582,-0.006383261036320184,0.002757023958385286,0.026371974550420015,0.0054167142895028015,-0.04444388634310534,0.0031154032612091373,0.00032398770378652496,0.008527310438083599
C_prop,0.057287183670092334,0.01159641148836647,-0.06597034847790327,0.026371974550420015,0.26378751938528117,0.12992839682459012,-0.393125808376778,0.028909798690739043,0.0034168941959447927,0.07453305531329833
NH4N_prop,0.8748334527089071,0.008848925921386403,-0.07452316056014695,0.0054167142895028015,0.12992839682459012,1.0022803151291684,0.19160721027855948,0.023708018062056344,0.007278830597144107,-0.0023557253009442083
Si04Si_prop,-0.4327413564885932,-0.01605425336309099,0.12367638446197607,-0.04444388634310534,-0.393125808376778,0.19160721027855948,1.1428878189290057,-0.048207810332375464,-0.00458328218553185,-0.10803849497303494
N02N_prop,-0.06272197705207419,0.0010905730890225227,-0.006194165931156239,0.0031154032612091373,0.028909798690739043,0.023708018062056344,-0.048207810332375464,0.006221982901881491,0.00046676039751773974,0.011857205787897106
PO4P_prop,0.00029164904862577767,0.00018682347366406692,-0.001263908668076112,0.00032398770378652496,0.0034168941959447927,0.007278830597144107,-0.00458328218553185,0.00046676039751773974,0.00012783263043741937,0.001312641250808839
NO3N_prop,-0.33006844768712107,0.0028848131992582986,-0.002258763465267049,0.008527310438083599,0.07453305531329833,-0.0023557253009442083,-0.10803849497303494,0.011857205787897106,0.001312641250808839,0.05708913631639955
