,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
ID_Num,285.16666666666663,-2480.78947368421,-1458.9298245614032,-2790.0350877192977,-4255.561403508771,-3071.3070175438606,-2227.3771929824557,-6797.307017543861,-3852.219298245614,-2804.1578947368416,-2489.6228070175443,-2005.5087719298244,-1192.90350877193,285.16666666666663
Up1,-2480.78947368421,171811.26799758006,122337.68905021173,149451.7646702964,117098.95765275261,82587.56019358741,81977.60798548096,-53252.93708408954,-57408.57592256504,-38666.102238354484,149452.66908650936,114551.5263157895,46211.0459770115,-2480.78947368421
Up2,-1458.9298245614032,122337.68905021173,122687.05747126433,130986.20326678763,139001.0453720509,89976.87598306114,80659.32728372655,-54123.05989110709,-55017.909255898354,-37120.87416817908,132277.14277071986,99939.29824561406,45307.18632788869,-1458.9298245614032
Up3,-2790.0350877192977,149451.7646702964,130986.20326678763,187916.5372050815,234788.99334543254,153904.3351482154,124098.50030248036,-46640.11191772533,-53509.27646702964,-31814.17120387174,179315.2068965518,137177.7017543859,71470.89594676346,-2790.0350877192977
Dow1,-4255.561403508771,117098.95765275261,139001.0453720509,234788.99334543254,917648.993345432,502083.03690260096,396059.64065335726,-65460.655777374406,-64466.609800362945,-39261.24137931034,261127.45251058662,207040.61403508807,155611.14156079857,-4255.561403508771
Dow2,-3071.3070175438606,82587.56019358741,89976.87598306114,153904.3351482154,502083.03690260096,325317.6143375679,221755.66817906837,-57529.16485178459,-55186.97005444646,-34294.47005444648,162593.5871143374,134153.6315789475,92309.50604960682,-3071.3070175438606
Dow3,-2227.3771929824557,81977.60798548096,80659.32728372655,124098.50030248036,396059.64065335726,221755.66817906837,196506.04264972778,-53658.31548699332,-47628.51693889896,-29749.911675741074,135703.84785238947,115015.96491228076,77200.61796733209,-2227.3771929824557
Sed1,-6797.307017543861,-53252.93708408954,-54123.05989110709,-46640.11191772533,-65460.655777374406,-57529.16485178459,-53658.31548699332,2285961.4231699933,938357.5042347244,486221.0744101633,-48631.73169993951,-40806.85964912287,-23017.183000604957,-6797.307017543861
Sed2,-3852.219298245614,-57408.57592256504,-55017.909255898354,-53509.27646702964,-64466.609800362945,-55186.97005444646,-47628.51693889896,938357.5042347244,466444.01724137925,276186.0084694494,-56262.489715668504,-45074.47368421055,-21108.09407138537,-3852.219298245614
Sed3,-2804.1578947368416,-38666.102238354484,-37120.87416817908,-31814.17120387174,-39261.24137931034,-34294.47005444648,-29749.911675741074,486221.0744101633,276186.0084694494,184011.30671506346,-35451.147610405314,-27594.28070175437,-10120.383545069573,-2804.1578947368416
Hil1,-2489.6228070175443,149452.66908650936,132277.14277071986,179315.2068965518,261127.45251058662,162593.5871143374,135703.84785238947,-48631.73169993951,-56262.489715668504,-35451.147610405314,181506.9222625529,138639.22807017548,71437.87386569873,-2489.6228070175443
Hil2,-2005.5087719298244,114551.5263157895,99939.29824561406,137177.7017543859,207040.61403508807,134153.6315789475,115015.96491228076,-40806.85964912287,-45074.47368421055,-27594.28070175437,138639.22807017548,112426.49122807017,59235.66666666669,-2005.5087719298244
Hil3,-1192.90350877193,46211.0459770115,45307.18632788869,71470.89594676346,155611.14156079857,92309.50604960682,77200.61796733209,-23017.183000604957,-21108.09407138537,-10120.383545069573,71437.87386569873,59235.66666666669,41858.58590441619,-1192.90350877193
OTU_ID,285.16666666666663,-2480.78947368421,-1458.9298245614032,-2790.0350877192977,-4255.561403508771,-3071.3070175438606,-2227.3771929824557,-6797.307017543861,-3852.219298245614,-2804.1578947368416,-2489.6228070175443,-2005.5087719298244,-1192.90350877193,285.16666666666663
