,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
0,1.5,8.0,6.0,9.0,12.0,11.0,7.0,3.0,4.0,5.0,10.0,14.0,13.0,1.5
1,6.0,3.5,1.5,10.5,6.0,8.5,8.5,14.0,13.0,12.0,3.5,10.5,1.5,6.0
2,1.5,10.0,11.0,6.0,14.0,13.0,12.0,8.0,3.5,3.5,5.0,7.0,9.0,1.5
3,1.5,9.0,6.0,7.0,14.0,13.0,10.0,5.0,4.0,3.0,11.0,8.0,12.0,1.5
4,1.5,12.0,14.0,13.0,7.0,10.0,6.0,4.0,3.0,5.0,11.0,8.0,9.0,1.5
5,1.5,13.0,7.0,10.0,8.0,9.0,6.0,3.0,4.0,5.0,12.0,11.0,14.0,1.5
6,9.5,6.5,2.0,6.5,4.0,6.5,6.5,14.0,13.0,12.0,2.0,11.0,2.0,9.5
7,2.0,12.0,7.0,10.0,13.0,6.0,11.0,2.0,5.0,4.0,14.0,8.0,9.0,2.0
8,4.5,8.0,1.0,3.0,6.5,9.0,6.5,12.0,13.0,14.0,10.0,11.0,2.0,4.5
9,4.0,13.0,6.0,14.0,8.0,11.0,7.0,1.0,2.0,4.0,10.0,9.0,12.0,4.0
10,4.5,6.0,2.0,3.0,8.0,7.0,12.0,11.0,13.0,14.0,10.0,9.0,1.0,4.5
11,6.5,3.5,14.0,13.0,12.0,11.0,8.0,10.0,9.0,5.0,3.5,1.5,1.5,6.5
12,3.5,13.0,6.0,12.0,11.0,8.5,14.0,2.0,5.0,1.0,10.0,7.0,8.5,3.5
13,10.0,4.5,7.0,8.0,12.0,4.5,14.0,2.5,2.5,1.0,13.0,6.0,10.0,10.0
14,10.0,6.0,1.0,2.0,14.0,13.0,8.0,4.0,5.0,3.0,12.0,10.0,7.0,10.0
15,8.0,8.0,3.5,3.5,11.0,14.0,13.0,10.0,3.5,12.0,3.5,3.5,3.5,8.0
16,10.5,8.0,4.0,6.5,13.0,12.0,14.0,3.0,1.5,1.5,9.0,5.0,6.5,10.5
17,2.5,9.0,6.0,10.0,13.0,14.0,12.0,5.0,1.0,4.0,8.0,7.0,11.0,2.5
18,10.5,4.0,1.5,4.0,8.5,6.5,4.0,14.0,13.0,12.0,8.5,6.5,1.5,10.5
