,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
ID_Num,1.0,0.06518422889095249,0.06604912357766347,0.06744625780653053,0.049094714717786155,0.05375875427910205,0.08565374235352452,0.06518642098042712,0.07757120686886414,0.07369914925933549,0.05191681531611733,0.03232076643035863,0.039199690831641286,0.9999671245944209
Up1,0.06518422889095249,1.0,0.287493584649907,0.845099528348332,0.3495096766438728,0.38617402816343055,0.20516231519663647,0.015677480934720878,0.01925675568406945,0.02061519387366684,0.8154173531460479,0.5148069298433724,0.7271182400232287,0.06501182136890042
Up2,0.06604912357766347,0.287493584649907,1.0,0.45484918646972045,0.1347664904108094,0.13364584748055414,0.09447694085241078,0.017079608511930112,0.01598432834702254,0.016119945393870266,0.24475128455574024,0.16264303124697121,0.19492157055197268,0.06586262399361133
Up3,0.06744625780653053,0.845099528348332,0.45484918646972045,1.0,0.3601335908806097,0.3945860394077113,0.2067357120277006,0.01597017847696829,0.01838138907044282,0.019828588469688102,0.7708538880185316,0.5249440321736893,0.6757758612366084,0.06725950458503299
Dow1,0.049094714717786155,0.3495096766438728,0.1347664904108094,0.3601335908806097,1.0,0.7134083746262107,0.2681793145719173,0.016868677264443657,0.01889915465297279,0.020374260050840545,0.4828405297158249,0.5532561013476915,0.5289688236394229,0.04898130615087343
Dow2,0.05375875427910205,0.38617402816343055,0.13364584748055414,0.3945860394077113,0.7134083746262107,1.0,0.30902285792791745,0.02256037303588502,0.01856149792344535,0.021188756025637072,0.5043711475169383,0.5848448084244801,0.5573655628172983,0.05362833336391969
Dow3,0.08565374235352452,0.20516231519663647,0.09447694085241078,0.2067357120277006,0.2681793145719173,0.30902285792791745,1.0,0.03872189239059913,0.027799283171750983,0.03140779447557667,0.23372411083785885,0.19488497008052813,0.20099509083455075,0.08537631844855598
Sed1,0.06518642098042712,0.015677480934720878,0.017079608511930112,0.01597017847696829,0.016868677264443657,0.02256037303588502,0.03872189239059913,1.0,0.15858531717273996,0.14641967977670184,0.015956644422683155,0.01702745884641554,0.015682007713176932,0.06500773541751745
Sed2,0.07757120686886414,0.01925675568406945,0.01598432834702254,0.01838138907044282,0.01889915465297279,0.01856149792344535,0.027799283171750983,0.15858531717273996,1.0,0.9305775956708127,0.020253074798715746,0.020239406908229764,0.018272074222647875,0.07735828367542878
Sed3,0.07369914925933549,0.02061519387366684,0.016119945393870266,0.019828588469688102,0.020374260050840545,0.021188756025637072,0.03140779447557667,0.14641967977670184,0.9305775956708127,1.0,0.022170368263846673,0.022409410533454313,0.020004523307648743,0.07348907478744511
Hil1,0.05191681531611733,0.8154173531460479,0.24475128455574024,0.7708538880185316,0.4828405297158249,0.5043711475169383,0.23372411083785885,0.015956644422683155,0.020253074798715746,0.022170368263846673,1.0,0.760158098887239,0.9282825010087675,0.05179413915427279
Hil2,0.03232076643035863,0.5148069298433724,0.16264303124697121,0.5249440321736893,0.5532561013476915,0.5848448084244801,0.19488497008052813,0.01702745884641554,0.020239406908229764,0.022409410533454313,0.760158098887239,1.0,0.8808556693292862,0.03227138263900497
Hil3,0.039199690831641286,0.7271182400232287,0.19492157055197268,0.6757758612366084,0.5289688236394229,0.5573655628172983,0.20099509083455075,0.015682007713176932,0.018272074222647875,0.020004523307648743,0.9282825010087675,0.8808556693292862,1.0,0.03912425583879544
OTU_ID,0.9999671245944209,0.06501182136890042,0.06586262399361133,0.06725950458503299,0.04898130615087343,0.05362833336391969,0.08537631844855598,0.06500773541751745,0.07735828367542878,0.07348907478744511,0.05179413915427279,0.03227138263900497,0.03912425583879544,1.0
