,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
Sample,1.0,0.04694054396754516,0.04882393086674896,0.016118241459473825,0.016837400628638397,0.05913410470319038,0.053257876915026196,0.17755525646986692,0.05128555404164248,0.2613359442340747
moisture_content,0.04694054396754516,1.0,0.9025848293939456,0.49927051514039866,0.5175021506097458,0.8126636491458122,0.6986671849123655,0.4639758479031988,0.1662371667874397,0.08794170266704229
pH,0.04882393086674896,0.9025848293939456,1.0,0.3957332605946908,0.41099827270787426,0.721628704692202,0.5846369796595514,0.41365168275074116,0.1684327257851642,0.08603505412077277
N_prop,0.016118241459473825,0.49927051514039866,0.3957332605946908,1.0,0.9938900143982912,0.37850162528987813,0.292510077465476,0.17534592540472868,0.019277016920885518,0.035728333588008275
C_prop,0.016837400628638397,0.5175021506097458,0.41099827270787426,0.9938900143982912,1.0,0.39741038619218744,0.30641495720674483,0.193941058796334,0.01975902324216201,0.04080377544642986
NH4N_prop,0.05913410470319038,0.8126636491458122,0.721628704692202,0.37850162528987813,0.39741038619218744,1.0,0.9642838625160822,0.5878299795547647,0.30142921832549263,0.2023413745564442
Si04Si_prop,0.053257876915026196,0.6986671849123655,0.5846369796595514,0.292510077465476,0.30641495720674483,0.9642838625160822,1.0,0.5624586016620479,0.38418386245191966,0.21293656652226386
N02N_prop,0.17755525646986692,0.4639758479031988,0.41365168275074116,0.17534592540472868,0.193941058796334,0.5878299795547647,0.5624586016620479,1.0,0.12340265287253639,0.5941815521595969
PO4P_prop,0.05128555404164248,0.1662371667874397,0.1684327257851642,0.019277016920885518,0.01975902324216201,0.30142921832549263,0.38418386245191966,0.12340265287253639,1.0,0.06310769383150709
NO3N_prop,0.2613359442340747,0.08794170266704229,0.08603505412077277,0.035728333588008275,0.04080377544642986,0.2023413745564442,0.21293656652226386,0.5941815521595969,0.06310769383150709,1.0
