,min,max,range,median,mean,var,sd,se
0,0.0,11529.0,0.0,1.0,1575.0,12071368.909090908,3474.3875588498913,1002.9692961855358
1,0.0,11529.0,11529.0,1.0,1575.0,12071368.909090908,3474.3875588498913,1002.9692961855358
2,23.0,7254.0,23.0,1334.5,1865.8333333333333,4251151.606060606,2061.8320993865154,595.199658802308
3,23.0,7254.0,7254.0,1334.5,1865.8333333333333,4251151.606060606,2061.8320993865154,595.199658802308
4,69.0,2379.0,69.0,861.5,1114.75,730950.75,854.9565778447464,246.8047051820528
5,69.0,2379.0,2379.0,861.5,1114.75,730950.75,854.9565778447464,246.8047051820528
6,0.0,1586.0,0.0,17.5,303.0833333333333,328333.5378787879,573.0039597409323,165.41199520157437
7,0.0,1586.0,1586.0,17.5,303.0833333333333,328333.5378787879,573.0039597409323,165.41199520157437
8,237.0,1862.0,237.0,1009.5,1060.6666666666667,289768.0606060606,538.3010873164391,155.39413883360717
9,237.0,1862.0,1862.0,1009.5,1060.6666666666667,289768.0606060606,538.3010873164391,155.39413883360717
10,0.0,1345.0,0.0,9.5,236.58333333333334,200932.26515151514,448.2546878187836,129.3999823388432
11,0.0,1345.0,1345.0,9.5,236.58333333333334,200932.26515151514,448.2546878187836,129.3999823388432
12,51.0,676.0,51.0,321.5,315.75,38853.47727272727,197.11285415397768,56.90157970326723
13,51.0,676.0,676.0,321.5,315.75,38853.47727272727,197.11285415397768,56.90157970326723
14,15.0,508.0,15.0,225.5,247.08333333333334,28045.719696969696,167.46856330956476,48.34401005378855
15,15.0,508.0,508.0,225.5,247.08333333333334,28045.719696969696,167.46856330956476,48.34401005378855
16,0.0,622.0,0.0,11.0,153.66666666666666,64563.333333333336,254.09315876924614,73.35037680733329
17,0.0,622.0,622.0,11.0,153.66666666666666,64563.333333333336,254.09315876924614,73.35037680733329
18,9.0,746.0,9.0,254.5,272.75,53089.65909090909,230.41193348199022,66.5141959101646
19,9.0,746.0,746.0,254.5,272.75,53089.65909090909,230.41193348199022,66.5141959101646
20,0.0,1235.0,0.0,14.5,225.08333333333334,176418.8106060606,420.0223929816845,121.25002082682317
21,0.0,1235.0,1235.0,14.5,225.08333333333334,176418.8106060606,420.0223929816845,121.25002082682317
22,27.0,489.0,27.0,282.0,248.16666666666666,18945.60606060606,137.64303854756352,39.73412267875692
23,27.0,489.0,489.0,282.0,248.16666666666666,18945.60606060606,137.64303854756352,39.73412267875692
24,5.0,1030.0,5.0,73.5,157.25,78453.47727272728,280.09547885092195,80.85660005668846
25,5.0,1030.0,1030.0,73.5,157.25,78453.47727272728,280.09547885092195,80.85660005668846
26,0.0,695.0,0.0,10.0,133.75,62240.931818181816,249.4813255900766,72.01905524360771
27,0.0,695.0,695.0,10.0,133.75,62240.931818181816,249.4813255900766,72.01905524360771
28,15.0,704.0,15.0,127.0,208.25,46658.204545454544,216.00510305419763,62.35530219733693
29,15.0,704.0,704.0,127.0,208.25,46658.204545454544,216.00510305419763,62.35530219733693
30,4.0,859.0,4.0,74.5,162.58333333333334,57792.44696969697,240.40059685802981,69.39767465466511
31,4.0,859.0,859.0,74.5,162.58333333333334,57792.44696969697,240.40059685802981,69.39767465466511
32,6.0,877.0,6.0,21.0,144.25,70056.02272727272,264.68098293468825,76.4068183733585
33,6.0,877.0,877.0,21.0,144.25,70056.02272727272,264.68098293468825,76.4068183733585
34,25.0,1918.0,25.0,135.0,319.9166666666667,279329.5378787879,528.5163553559984,152.5695300179528
35,25.0,1918.0,1918.0,135.0,319.9166666666667,279329.5378787879,528.5163553559984,152.5695300179528
36,14.0,783.0,14.0,54.5,123.75,44232.75,210.31583392602658,60.71295166601604
37,14.0,783.0,783.0,54.5,123.75,44232.75,210.31583392602658,60.71295166601604
38,0.0,783.0,0.0,0.0,122.41666666666667,74716.81060606061,273.34375903989576,78.90754643149401
39,0.0,783.0,783.0,0.0,122.41666666666667,74716.81060606061,273.34375903989576,78.90754643149401
40,0.0,442.0,0.0,6.5,89.33333333333333,26517.333333333332,162.84143616823494,47.00827350347785
41,0.0,442.0,442.0,6.5,89.33333333333333,26517.333333333332,162.84143616823494,47.00827350347785
42,12.0,473.0,12.0,117.0,206.58333333333334,36231.53787878788,190.34583756622544,54.94811027899252
43,12.0,473.0,473.0,117.0,206.58333333333334,36231.53787878788,190.34583756622544,54.94811027899252
44,88.0,1047.0,88.0,382.0,447.75,86166.56818181818,293.5414249843081,84.73811036649832
45,88.0,1047.0,1047.0,382.0,447.75,86166.56818181818,293.5414249843081,84.73811036649832
46,0.0,523.0,0.0,7.0,95.0,32297.636363636364,179.71543162354303,51.87937641269118
47,0.0,523.0,523.0,7.0,95.0,32297.636363636364,179.71543162354303,51.87937641269118
48,38.0,651.0,38.0,116.0,228.91666666666666,48852.44696969697,221.0258966042146,63.80468045116085
49,38.0,651.0,651.0,116.0,228.91666666666666,48852.44696969697,221.0258966042146,63.80468045116085
50,37.0,385.0,37.0,219.0,207.0,15904.0,126.11106216347557,36.40512784393613
51,37.0,385.0,385.0,219.0,207.0,15904.0,126.11106216347557,36.40512784393613
52,28.0,596.0,28.0,175.5,241.33333333333334,37426.969696969696,193.46051198363375,55.84723933565689
53,28.0,596.0,596.0,175.5,241.33333333333334,37426.969696969696,193.46051198363375,55.84723933565689
54,5.0,232.0,5.0,84.0,95.58333333333333,5136.44696969697,71.66900982779775,20.689061058316483
55,5.0,232.0,232.0,84.0,95.58333333333333,5136.44696969697,71.66900982779775,20.689061058316483
56,16.0,536.0,16.0,87.5,207.41666666666666,41004.44696969697,202.49554802438738,58.45542958079042
57,16.0,536.0,536.0,87.5,207.41666666666666,41004.44696969697,202.49554802438738,58.45542958079042
58,0.0,408.0,0.0,3.0,74.25,19951.113636363636,141.24841109323543,40.7749040836432
59,0.0,408.0,408.0,3.0,74.25,19951.113636363636,141.24841109323543,40.7749040836432
60,0.0,575.0,0.0,2.5,86.08333333333333,28601.719696969696,169.1204295671274,48.820862768023076
61,0.0,575.0,575.0,2.5,86.08333333333333,28601.719696969696,169.1204295671274,48.820862768023076
62,0.0,785.0,0.0,5.5,110.75,51799.11363636364,227.59418629737368,65.70078236239127
63,0.0,785.0,785.0,5.5,110.75,51799.11363636364,227.59418629737368,65.70078236239127
64,28.0,464.0,28.0,328.5,285.9166666666667,22897.901515151516,151.32052575626187,43.682473139646746
65,28.0,464.0,464.0,328.5,285.9166666666667,22897.901515151516,151.32052575626187,43.682473139646746
66,3.0,624.0,3.0,19.5,85.16666666666667,29966.696969696968,173.10891649391422,49.97223976844292
67,3.0,624.0,624.0,19.5,85.16666666666667,29966.696969696968,173.10891649391422,49.97223976844292
