,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
Sample,1.0,0.0606060606060606,-0.2121212121212121,-0.12844577259807538,-0.0909090909090909,0.1515151515151515,0.0606060606060606,-0.2424242424242424,0.20184335693983277,-0.3333333333333333
moisture_content,0.0606060606060606,1.0,-0.3636363636363636,0.6055300708194982,0.6666666666666666,0.1212121212121212,-0.5151515151515151,0.3333333333333333,0.38533731779422614,0.303030303030303
pH,-0.2121212121212121,-0.3636363636363636,1.0,-0.4587349021359835,-0.4545454545454545,-0.3333333333333333,0.4242424242424242,-0.1212121212121212,-0.4587349021359835,0.0303030303030303
N_prop,-0.12844577259807538,0.6055300708194982,-0.4587349021359835,1.0,0.7890240316738917,0.1651445647689541,-0.7156264473321343,0.6055300708194983,0.39999999999999997,0.5688312786486196
C_prop,-0.0909090909090909,0.6666666666666666,-0.4545454545454545,0.7890240316738917,1.0,0.2727272727272727,-0.5454545454545454,0.303030303030303,0.31193973345246884,0.3333333333333333
NH4N_prop,0.1515151515151515,0.1212121212121212,-0.3333333333333333,0.1651445647689541,0.2727272727272727,1.0,0.0606060606060606,0.0606060606060606,0.38533731779422614,0.0303030303030303
Si04Si_prop,0.0606060606060606,-0.5151515151515151,0.4242424242424242,-0.7156264473321343,-0.5454545454545454,0.0606060606060606,1.0,-0.4545454545454545,-0.31193973345246884,-0.303030303030303
N02N_prop,-0.2424242424242424,0.3333333333333333,-0.1212121212121212,0.6055300708194983,0.303030303030303,0.0606060606060606,-0.4545454545454545,1.0,0.0917469804271967,0.6666666666666666
PO4P_prop,0.20184335693983277,0.38533731779422614,-0.4587349021359835,0.39999999999999997,0.31193973345246884,0.38533731779422614,-0.31193973345246884,0.0917469804271967,1.0,0.20184335693983277
NO3N_prop,-0.3333333333333333,0.303030303030303,0.0303030303030303,0.5688312786486196,0.3333333333333333,0.0303030303030303,-0.303030303030303,0.6666666666666666,0.20184335693983277,1.0
