,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
Sample,1.0,-0.11594202898550725,-0.21415643254898514,-0.41248835867763184,-0.2753623188405797,-0.2681159420289855,-0.4392021752275797,-0.5908744281477322,-0.30106620701117737,-0.5500992878765342
moisture_content,-0.11594202898550725,1.0,-0.4319426351411734,0.5335858584728999,0.6956521739130435,0.48550724637681164,0.061706090734453344,0.06239046756839407,0.36362541885765576,-0.02550129149096516
pH,-0.21415643254898514,-0.4319426351411734,1.0,-0.26538198152718606,-0.36660677436351696,-0.25771367306742277,0.15999999999999998,0.23530843047337213,-0.07834106581492745,0.36496593430090596
N_prop,-0.41248835867763184,0.5335858584728999,-0.26538198152718606,1.0,0.7530750768518233,0.5411544522101042,0.2615908103625119,0.3334900278709004,0.43288389802766775,0.25113217120710263
C_prop,-0.2753623188405797,0.6956521739130435,-0.36660677436351696,0.7530750768518233,1.0,0.5,0.1343014915985161,0.15047112766495044,0.355805517376846,0.06921779118976258
NH4N_prop,-0.2681159420289855,0.48550724637681164,-0.25771367306742277,0.5411544522101042,0.5,1.0,0.4246830950547672,0.2385517877615068,0.4496443351465636,0.1347925407379587
Si04Si_prop,-0.4392021752275797,0.061706090734453344,0.15999999999999998,0.2615908103625119,0.1343014915985161,0.4246830950547672,1.0,0.183834711307322,0.1880185579558259,0.18248296715045298
N02N_prop,-0.5908744281477322,0.06239046756839407,0.23530843047337213,0.3334900278709004,0.15047112766495044,0.2385517877615068,0.183834711307322,1.0,0.39604969848386534,0.7970696771702636
PO4P_prop,-0.30106620701117737,0.36362541885765576,-0.07834106581492745,0.43288389802766775,0.355805517376846,0.4496443351465636,0.1880185579558259,0.39604969848386534,1.0,0.34989240066761274
NO3N_prop,-0.5500992878765342,-0.02550129149096516,0.36496593430090596,0.25113217120710263,0.06921779118976258,0.1347925407379587,0.18248296715045298,0.7970696771702636,0.34989240066761274,1.0
