,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
ID_Num,1.0,-0.11447615910053675,-0.049802999688567266,-0.13337404986436682,-0.05729135598890292,-0.10193724316219517,-0.04981857042513297,-0.21972808329962193,-0.14351058226904698,-0.18418682140757361,-0.08961599901246156,-0.06854448720037934,-0.11161703703198539,0.9999999999999998
Up1,-0.11447615910053675,1.0,0.754031403158727,0.6701064992923819,0.5168706876977585,0.5529839898851601,0.6478029487550918,-0.1482835320281932,-0.35982016915812026,-0.3688201564854993,0.7234047850770855,0.7068639860152168,0.31946590120593404,-0.11447615910053675
Up2,-0.049802999688567266,0.754031403158727,1.0,0.7139391085842579,0.5745545763683082,0.5613219456700181,0.6395748983947545,-0.26386354685995617,-0.3278390722173728,-0.3607066637872071,0.7566267725583897,0.7062985118927677,0.30024382807866246,-0.049802999688567266
Up3,-0.13337404986436682,0.6701064992923819,0.7139391085842579,1.0,0.642152474091089,0.6958838579591333,0.6633703400960423,-0.2658152818591088,-0.32480345772896935,-0.23011540367878766,0.8076335248653604,0.7768223966089851,0.4018237824528265,-0.13337404986436682
Dow1,-0.05729135598890292,0.5168706876977585,0.5745545763683082,0.642152474091089,1.0,0.875067393205495,0.7282051282051283,-0.29366283178392616,-0.3580486824521283,-0.2900093834592233,0.6726458779330804,0.6837717891585781,0.47332124681091353,-0.05729135598890291
Dow2,-0.10193724316219517,0.5529839898851601,0.5613219456700181,0.6958838579591333,0.875067393205495,1.0,0.7733153707397397,-0.2510462933861028,-0.33472063152270887,-0.2425452814032447,0.7067236732496033,0.7407209368356131,0.5048845358538445,-0.10193724316219517
Dow3,-0.04981857042513297,0.6478029487550918,0.6395748983947545,0.6633703400960423,0.7282051282051283,0.7733153707397397,1.0,-0.2286821200700361,-0.3142315359981965,-0.3087196662630442,0.730301238898773,0.8107763053437548,0.47019907499817665,-0.04981857042513297
Sed1,-0.21972808329962193,-0.1482835320281932,-0.26386354685995617,-0.2658152818591088,-0.29366283178392616,-0.2510462933861028,-0.2286821200700361,1.0,0.7108004585471142,0.6462016825084724,-0.270995848852937,-0.20256980365450766,0.09555692579428887,-0.21972808329962196
Sed2,-0.14351058226904698,-0.35982016915812026,-0.3278390722173728,-0.32480345772896935,-0.3580486824521283,-0.33472063152270887,-0.3142315359981965,0.7108004585471142,1.0,0.7825874414987254,-0.3740839019994159,-0.30816955158817755,-0.005487821201158128,-0.14351058226904698
Sed3,-0.18418682140757361,-0.3688201564854993,-0.3607066637872071,-0.23011540367878766,-0.2900093834592233,-0.2425452814032447,-0.3087196662630442,0.6462016825084724,0.7825874414987254,1.0,-0.3646168607826751,-0.2777139404415632,0.06379105559564048,-0.18418682140757361
Hil1,-0.08961599901246156,0.7234047850770855,0.7566267725583897,0.8076335248653604,0.6726458779330804,0.7067236732496033,0.730301238898773,-0.270995848852937,-0.3740839019994159,-0.3646168607826751,1.0,0.8217955471695305,0.33697861303440024,-0.08961599901246156
Hil2,-0.06854448720037934,0.7068639860152168,0.7062985118927677,0.7768223966089851,0.6837717891585781,0.7407209368356131,0.8107763053437548,-0.20256980365450766,-0.30816955158817755,-0.2777139404415632,0.8217955471695305,1.0,0.44113352855345717,-0.06854448720037934
Hil3,-0.11161703703198539,0.31946590120593404,0.30024382807866246,0.4018237824528265,0.47332124681091353,0.5048845358538445,0.47019907499817665,0.09555692579428887,-0.005487821201158128,0.06379105559564048,0.33697861303440024,0.44113352855345717,1.0,-0.11161703703198539
OTU_ID,0.9999999999999998,-0.11447615910053675,-0.049802999688567266,-0.13337404986436682,-0.05729135598890291,-0.10193724316219517,-0.04981857042513297,-0.21972808329962196,-0.14351058226904698,-0.18418682140757361,-0.08961599901246156,-0.06854448720037934,-0.11161703703198539,1.0
