,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
0,1,6,2,2,0,0,0,11529,4808,2553,0,0,0,1
1,2,814,992,1646,7254,3833,3119,68,23,94,1878,1475,1194,2
2,3,2379,1740,2215,742,854,869,116,69,146,2077,1640,530,3
3,4,15,34,20,0,0,0,534,1586,1381,0,0,67,4
4,5,1502,1389,1862,1050,880,479,969,237,320,1793,1338,909,5
5,6,13,6,28,0,6,0,372,960,1345,0,0,109,6
6,7,676,522,319,307,324,467,51,61,73,427,389,173,7
7,8,427,431,508,175,236,215,33,15,44,355,349,177,8
8,9,16,6,16,0,0,0,622,590,499,0,0,95,9
9,10,572,153,258,115,303,746,44,9,46,251,510,266,10
10,11,14,15,37,0,1,0,320,1235,950,0,0,129,11
11,12,346,331,489,340,258,293,40,27,84,273,206,291,12
12,13,48,56,5,135,149,119,0,0,0,10,0,0,13
13,14,8,12,22,0,0,0,188,613,695,0,0,67,14
14,15,113,40,704,244,533,52,32,15,80,298,141,247,15
15,16,252,145,42,859,295,107,0,0,0,32,14,4,16
16,17,29,21,10,6,8,21,877,456,142,6,10,145,17
17,18,66,139,243,623,1918,131,44,25,57,191,275,127,18
18,19,46,14,56,65,53,40,783,137,117,50,46,78,19
19,20,0,1,0,0,0,0,65,783,620,0,0,0,20
20,21,7,6,10,0,0,0,121,415,442,0,0,71,21
21,22,403,473,462,125,109,107,26,12,37,471,216,38,22
22,23,173,300,379,700,748,1047,88,111,254,385,648,540,23
23,24,7,7,17,0,0,0,123,415,523,0,0,48,24
24,25,635,651,364,66,93,137,76,38,49,338,205,95,25
25,26,356,385,289,174,215,243,54,37,51,359,223,98,26
26,27,303,385,463,117,138,213,43,28,62,596,456,92,27
27,28,85,121,7,76,116,83,0,0,0,5,15,0,28
28,29,536,489,388,61,69,100,48,16,27,466,214,75,29
29,30,1,5,5,0,0,0,96,328,408,0,0,48,30
30,31,0,86,575,3,2,0,0,0,0,225,120,0,31
31,32,25,6,5,0,0,0,785,259,156,0,0,93,32
32,33,250,307,464,347,318,399,54,28,84,401,339,440,33
33,34,38,624,88,20,19,18,3,14,7,99,83,9,34
34,35,74,63,87,67,80,77,314,142,181,76,57,131,35
35,36,46,28,28,660,382,228,22,15,7,172,77,54,36
36,37,187,982,197,364,203,210,51,21,42,231,205,204,37
37,38,107,153,216,74,64,39,11,4,14,245,113,18,38
38,39,96,88,127,135,128,51,19,56,0,83,158,32,39
39,40,100,168,95,101,86,62,8,5,12,158,81,24,40
40,41,5,12,46,241,105,47,19,12,25,33,62,155,41
41,42,160,183,115,140,177,129,41,21,88,129,189,153,42
42,43,410,554,766,172,146,214,25,20,52,442,280,134,43
43,44,157,158,63,63,46,77,16,8,18,95,83,59,44
44,45,270,115,52,311,261,98,0,0,0,12,4,12,45
45,46,97,146,156,60,115,58,50,25,53,147,137,79,46
46,47,437,184,169,61,84,147,134,121,176,120,200,142,47
47,48,144,205,65,79,42,41,9,9,7,87,58,27,48
48,49,10,4,7,17,40,45,241,0,0,139,717,431,49
49,50,5,3,14,0,0,0,87,314,249,0,0,50,50
50,51,284,264,256,288,289,287,82,56,81,275,222,148,51
51,52,56,63,60,51,40,156,32,20,20,89,160,130,52
52,53,15,24,32,18,18,59,118,278,195,24,116,121,53
53,54,3,5,9,0,0,0,87,325,329,0,0,32,54
54,55,5,3,124,12,21,34,0,0,0,185,540,618,55
55,56,152,135,131,69,80,137,30,21,30,143,147,95,56
56,57,26,26,12,11,35,21,189,204,0,21,56,72,57
57,58,344,587,420,317,681,744,35,0,0,178,41,42,58
58,59,58,60,33,212,134,73,0,0,0,16,4,3,59
59,60,113,148,158,113,113,105,39,19,22,171,132,69,60
60,61,10,1,1,0,0,0,496,159,96,0,0,41,61
61,62,81,77,74,123,196,107,48,42,100,83,144,186,62
