,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
0,1,0.10583874137713,8.13,0.0,0.248473247927655,1.15444,4.35530117647059,0.0278056310679612,0.0,0.203736008276301
1,2,0.107589974864421,8.22,0.0,0.214383631713554,0.92568,3.10737960784314,0.0301163106796116,0.0,0.198671230303995
2,3,0.0784902237063057,8.11,0.0,0.157354765933446,1.39118,4.50271294117647,0.0590677669902913,0.0,0.435949282190037
3,4,0.164456796735056,7.62,0.131504389465284,1.52591779728651,2.85236,1.43039921568627,0.225980388349515,0.0378776744186047,0.622479283781633
4,5,0.112642426273459,7.68,0.101553943789664,1.15739256572982,1.84898,1.74718352941176,0.152310485436893,0.0126451162790698,0.516214760464746
5,6,0.100741257076795,7.85,0.0,0.121566739606127,0.75334,2.19106588235294,0.0411260194174757,0.0,0.0332025051726882
6,7,0.137168321666938,7.63,0.0919487179487174,1.17945128205128,0.9401,2.24514431372549,0.0420774757281554,0.0,0.0579559668947955
7,8,0.126071368550782,7.97,0.081276821192053,1.00491721854305,1.89098,2.31898745098039,0.217145436893204,0.0,0.300592923762534
8,9,0.142527849110844,8.03,0.0908663729809104,1.06206754772394,0.504919191919192,1.8453302970297,0.0422133980582524,0.00744,0.615426601941748
9,10,0.0812165321398694,7.91,0.0,0.105071477195371,1.27407070707071,3.11226099009901,0.0146211650485437,0.00775,0.0460188349514563
10,11,0.128445316969161,7.84,0.0,0.50902802460697,4.07619191919192,4.28992435643564,0.0106794174757282,0.01581,0.00546058252427185
11,12,0.0865672475034721,7.9,0.0,0.311500000000002,1.43952525252525,3.05764712871287,0.0123104854368932,0.0,0.0095795145631068
