,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
ID_Num,1.0,-0.5140707763271015,-0.5297972869817346,-0.5300815902456613,-0.41921573107185506,-0.43369231279461157,-0.4289505830487429,-0.49670837003504387,-0.43581119194878354,-0.4577229843327142,-0.431667354288675,-0.4341938785564626,-0.5725902672703764,1.0
Up1,-0.5140707763271015,1.0,0.7618890675789565,0.6935005129672335,0.6141408127745657,0.6102352020742414,0.6744251809425873,0.27759587474863934,0.13180510351177396,0.18812371994896124,0.6848287952181185,0.5996849093015703,0.4459664960099447,-0.5140707763271015
Up2,-0.5297972869817346,0.7618890675789565,1.0,0.7411345679327824,0.6236465867721979,0.6096554863251031,0.6556267181980295,0.2159640658484609,0.18787710772286428,0.2128146862416143,0.6680169986028083,0.589781568620984,0.417116080461702,-0.5297972869817346
Up3,-0.5300815902456613,0.6935005129672335,0.7411345679327824,1.0,0.6339417242010029,0.6199416209116808,0.6437434955906816,0.22762005374058125,0.15040087070858144,0.27883653430804695,0.6899588933377554,0.5913378875813566,0.46279464208850773,-0.5300815902456613
Dow1,-0.41921573107185506,0.6141408127745657,0.6236465867721979,0.6339417242010029,1.0,0.7997382464736348,0.6855393610942894,0.13703808059337436,0.04507661343074186,0.14061481198524772,0.695163051023469,0.5743553610468521,0.40864724386948414,-0.41921573107185506
Dow2,-0.43369231279461157,0.6102352020742414,0.6096554863251031,0.6199416209116808,0.7997382464736348,1.0,0.742576111382033,0.18707347109033767,0.08035326303643935,0.19013601742159553,0.6950099438632039,0.7007840597686936,0.4894132111386442,-0.43369231279461157
Dow3,-0.4289505830487429,0.6744251809425873,0.6556267181980295,0.6437434955906816,0.6855393610942894,0.742576111382033,1.0,0.1368843591036673,0.04080471244696895,0.13359125718136958,0.6918654004271783,0.6947102657142195,0.49035010445102584,-0.4289505830487429
Sed1,-0.49670837003504387,0.27759587474863934,0.2159640658484609,0.22762005374058125,0.13703808059337436,0.18707347109033767,0.1368843591036673,1.0,0.6648667048129877,0.6171232663327687,0.18931066021353957,0.2777877411818875,0.619708975264263,-0.49670837003504387
Sed2,-0.43581119194878354,0.13180510351177396,0.18787710772286428,0.15040087070858144,0.04507661343074186,0.08035326303643935,0.04080471244696895,0.6648667048129877,1.0,0.7501460057992163,-0.002567713732334062,0.10159547816776375,0.47529296297830437,-0.43581119194878354
Sed3,-0.4577229843327142,0.18812371994896124,0.2128146862416143,0.27883653430804695,0.14061481198524772,0.19013601742159553,0.13359125718136958,0.6171232663327687,0.7501460057992163,1.0,0.08652827880014828,0.1628095153214565,0.549169387085506,-0.4577229843327142
Hil1,-0.431667354288675,0.6848287952181185,0.6680169986028083,0.6899588933377554,0.695163051023469,0.6950099438632039,0.6918654004271783,0.18931066021353957,-0.002567713732334062,0.08652827880014828,1.0,0.7535805513507311,0.4496076888899725,-0.431667354288675
Hil2,-0.4341938785564626,0.5996849093015703,0.589781568620984,0.5913378875813566,0.5743553610468521,0.7007840597686936,0.6947102657142195,0.2777877411818875,0.10159547816776375,0.1628095153214565,0.7535805513507311,1.0,0.5845733664736286,-0.4341938785564626
Hil3,-0.5725902672703764,0.4459664960099447,0.417116080461702,0.46279464208850773,0.40864724386948414,0.4894132111386442,0.49035010445102584,0.619708975264263,0.47529296297830437,0.549169387085506,0.4496076888899725,0.5845733664736286,1.0,-0.5725902672703764
OTU_ID,1.0,-0.5140707763271015,-0.5297972869817346,-0.5300815902456613,-0.41921573107185506,-0.43369231279461157,-0.4289505830487429,-0.49670837003504387,-0.43581119194878354,-0.4577229843327142,-0.431667354288675,-0.4341938785564626,-0.5725902672703764,1.0
