,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
Sample,1.0,0.38461538461538464,-0.18181818181818182,0.04195804195804196,0.11188811188811189,0.4755244755244755,-0.027972027972027972,-0.5034965034965035,0.0,-0.6293706293706294
moisture_content,0.38461538461538464,1.0,-0.8531468531468531,0.7272727272727273,0.916083916083916,0.8951048951048951,0.34965034965034963,-0.5664335664335665,0.31173427841056406,-0.6363636363636364
pH,-0.18181818181818182,-0.8531468531468531,1.0,-0.7622377622377622,-0.7342657342657343,-0.7692307692307693,-0.3076923076923077,0.3916083916083916,-0.3327500724607145,0.4755244755244755
N_prop,0.04195804195804196,0.7272727272727273,-0.7622377622377622,1.0,0.7902097902097902,0.7342657342657343,0.5034965034965035,-0.35664335664335667,0.18563951410966176,-0.4405594405594406
C_prop,0.11188811188811189,0.916083916083916,-0.7342657342657343,0.7902097902097902,1.0,0.7552447552447552,0.4195804195804196,-0.4825174825174825,0.2626974256268798,-0.5034965034965035
NH4N_prop,0.4755244755244755,0.8951048951048951,-0.7692307692307693,0.7342657342657343,0.7552447552447552,1.0,0.4195804195804196,-0.5034965034965035,0.29422111670210543,-0.5944055944055944
Si04Si_prop,-0.027972027972027972,0.34965034965034963,-0.3076923076923077,0.5034965034965035,0.4195804195804196,0.4195804195804196,1.0,-0.6083916083916084,-0.21015794050150385,-0.5034965034965035
N02N_prop,-0.5034965034965035,-0.5664335664335665,0.3916083916083916,-0.35664335664335667,-0.4825174825174825,-0.5034965034965035,-0.6083916083916084,1.0,0.3082316460688723,0.965034965034965
PO4P_prop,0.0,0.31173427841056406,-0.3327500724607145,0.18563951410966176,0.2626974256268798,0.29422111670210543,-0.21015794050150385,0.3082316460688723,1.0,0.2031526758181204
NO3N_prop,-0.6293706293706294,-0.6363636363636364,0.4755244755244755,-0.4405594405594406,-0.5034965034965035,-0.5944055944055944,-0.5034965034965035,0.965034965034965,0.2031526758181204,1.0
