,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
ID_Num,1.0,-0.2687822209554962,-0.2715726324650901,-0.27601654450129487,-0.21023335738894436,-0.2286783195921802,-0.32786641333429467,-0.2687893321980685,-0.3061109999334323,-0.2950118469957648,-0.2215596241549073,-0.12878250791605364,-0.16567398080424509,0.9999890413813606
Up1,-0.2687822209554962,1.0,0.6248054058270625,0.9446792140729954,0.6785715694499962,0.7067130374596563,0.5359588980389594,0.0005590148105798906,0.03544535069478659,0.04727619727196745,0.9331252221649696,0.790485162338684,0.8965494413967922,-0.2682222975295572
Up2,-0.2715726324650901,0.6248054058270625,1.0,0.7539124034445911,0.4320570360884455,0.43006542655746066,0.3497426340429368,-0.014946104366884908,0.0037966170109370763,0.00521105623038111,0.58179728447236,0.47764204124297116,0.5229067536921,-0.27097351460186836
Up3,-0.27601654450129487,0.9446792140729954,0.7539124034445911,1.0,0.686969643098639,0.7128537452190948,0.5379158741901057,0.0036484632153566867,0.027447682611857198,0.04050769308789155,0.915102427944821,0.7963136199416374,0.8735434731086319,-0.27542699956812167
Dow1,-0.21023335738894436,0.6785715694499962,0.4320570360884455,0.686969643098639,1.0,0.890542142920191,0.6060813599403349,0.012846194161520856,0.0322155377705508,0.045226238043442474,0.7714570018923332,0.8121091961363316,0.7986017365462634,-0.20976696936755765
Dow2,-0.2286783195921802,0.7067130374596563,0.43006542655746066,0.7128537452190948,0.890542142920191,1.0,0.6444793705714912,0.06313326780313046,0.029118769651928188,0.05207711150038581,0.7843841961174871,0.8289567493004374,0.8143456076421942,-0.22818101275762753
Dow3,-0.32786641333429467,0.5359588980389594,0.3497426340429368,0.5379158741901057,0.6060813599403349,0.6444793705714912,1.0,0.16329382992595326,0.10078438900013381,0.1234046979743404,0.5696900849805688,0.5228590905333677,0.5307146452302028,-0.3271486396396698
Sed1,-0.2687893321980685,0.0005590148105798906,-0.014946104366884908,0.0036484632153566867,0.012846194161520856,0.06313326780313046,0.16329382992595326,1.0,0.4714329990828839,0.4519887042484584,0.003506654826458432,0.014428951966275435,0.0006071599195432907,-0.2682090126883133
Sed2,-0.3061109999334323,0.03544535069478659,0.0037966170109370763,0.027447682611857198,0.0322155377705508,0.029118769651928188,0.10078438900013381,0.4714329990828839,1.0,0.9761599545841136,0.044187500365464864,0.044070021453473184,0.026426771260298514,-0.30551279703769024
Sed3,-0.2950118469957648,0.04727619727196745,0.00521105623038111,0.04050769308789155,0.045226238043442474,0.05207711150038581,0.1234046979743404,0.4519887042484584,0.9761599545841136,1.0,0.06004787598692439,0.06194429092323549,0.04204073565975078,-0.2943958909914804
Hil1,-0.2215596241549073,0.9331252221649696,0.58179728447236,0.915102427944821,0.7714570018923332,0.7843841961174871,0.5696900849805688,0.003506654826458432,0.044187500365464864,0.06004787598692439,1.0,0.9106478508606007,0.9753468140839763,-0.22107807175652122
Hil2,-0.12878250791605364,0.790485162338684,0.47764204124297116,0.7963136199416374,0.8121091961363316,0.8289567493004374,0.5228590905333677,0.014428951966275435,0.044070021453473184,0.06194429092323549,0.9106478508606007,1.0,0.9581567527512802,-0.12849487508442706
Hil3,-0.16567398080424509,0.8965494413967922,0.5229067536921,0.8735434731086319,0.7986017365462634,0.8143456076421942,0.5307146452302028,0.0006071599195432907,0.026426771260298514,0.04204073565975078,0.9753468140839763,0.9581567527512802,1.0,-0.16529981459686144
OTU_ID,0.9999890413813606,-0.2682222975295572,-0.27097351460186836,-0.27542699956812167,-0.20976696936755765,-0.22818101275762753,-0.3271486396396698,-0.2682090126883133,-0.30551279703769024,-0.2943958909914804,-0.22107807175652122,-0.12849487508442706,-0.16529981459686144,1.0
