,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
Sample,1.0,0.20121666487221046,-0.20911827698678617,-0.005193346398502305,0.012532961514988328,0.248349907207057,0.2267629106685459,-0.49940487315352866,0.21907147943540337,-0.5991769454265774
moisture_content,0.20121666487221046,1.0,-0.9661259438987356,0.7813639079113271,0.792044083132818,0.9320356450499243,0.8839746434111637,-0.7597294058482773,0.48303482860051256,-0.3337132752170115
pH,-0.20911827698678617,-0.9661259438987356,1.0,-0.7136827346186851,-0.7245269874402681,-0.8941554984106426,-0.8288484111253063,0.7263776101555842,-0.4862815105207771,0.32884981935917185
N_prop,-0.005193346398502305,0.7813639079113271,-0.7136827346186851,1.0,0.9979581336989998,0.7010142574993434,0.6294966344223636,-0.49627909646658147,0.03562684727639625,-0.1477979791387791
C_prop,0.012532961514988328,0.792044083132818,-0.7245269874402681,0.9979581336989998,1.0,0.714891039737862,0.6421581844400468,-0.5216272926226591,0.03989839444876533,-0.17349178535362167
NH4N_prop,0.248349907207057,0.9320356450499243,-0.8941554984106426,0.7010142574993434,0.714891039737862,1.0,0.9879134806195534,-0.8305093473434101,0.6376743748496752,-0.5324187069808299
Si04Si_prop,0.2267629106685459,0.8839746434111637,-0.8288484111253063,0.6294966344223636,0.6421581844400468,0.9879134806195534,1.0,-0.8170983030308546,0.7052439422594735,-0.5455095873942242
N02N_prop,-0.49940487315352866,-0.7597294058482773,0.7263776101555842,-0.49627909646658147,-0.5216272926226591,-0.8305093473434101,-0.8170983030308546,1.0,-0.4111854120663736,0.8337910818259596
PO4P_prop,0.21907147943540337,0.48303482860051256,-0.4862815105207771,0.03562684727639625,0.03989839444876533,0.6376743748496752,0.7052439422594735,-0.4111854120663736,1.0,-0.26195455042401183
NO3N_prop,-0.5991769454265774,-0.3337132752170115,0.32884981935917185,-0.1477979791387791,-0.17349178535362167,-0.5324187069808299,-0.5455095873942242,0.8337910818259596,-0.26195455042401183,1.0
