,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
Sample,1.0,-0.3043664750429742,-0.12989893325865365,-0.3946060920256816,-0.3099889847809557,-0.2460618510418798,-0.3099074700535364,-0.7546414528187483,-0.12946422871690597,-0.6478485720165233
moisture_content,-0.3043664750429742,1.0,-0.8203913769856589,0.8217742985086312,0.8235807472588249,0.9348481846681548,0.8943407022536961,-0.1475586090925571,0.5229542948619521,-0.02199357503860757
pH,-0.12989893325865365,-0.8203913769856589,1.0,-0.6106104810595978,-0.6469798112936286,-0.7660304343202216,-0.6750234937936715,0.45934569557168736,-0.4397513674341362,0.26903890170929845
N_prop,-0.3946060920256816,0.8217742985086312,-0.6106104810595978,1.0,0.9923784992701905,0.7383245660402793,0.6855208045958793,0.05015032499882294,0.13935547065308693,0.14604105935835213
C_prop,-0.3099889847809557,0.8235807472588249,-0.6469798112936286,0.9923784992701905,1.0,0.7472761148236935,0.6855235963801061,-0.047994445405401744,0.12376253370788687,0.0697533843469822
NH4N_prop,-0.2460618510418798,0.9348481846681548,-0.7660304343202216,0.7383245660402793,0.7472761148236935,1.0,0.986869629226842,-0.24750450987607514,0.6630176540478949,-0.21694643805905142
Si04Si_prop,-0.3099074700535364,0.8943407022536961,-0.6750234937936715,0.6855208045958793,0.6855235963801061,0.986869629226842,1.0,-0.18655658901962066,0.7183577036691475,-0.18744937504394701
N02N_prop,-0.7546414528187483,-0.1475586090925571,0.45934569557168736,0.05015032499882294,-0.047994445405401744,-0.24750450987607514,-0.18655658901962066,1.0,-0.09926827269308185,0.8617380114308163
PO4P_prop,-0.12946422871690597,0.5229542948619521,-0.4397513674341362,0.13935547065308693,0.12376253370788687,0.6630176540478949,0.7183577036691475,-0.09926827269308185,1.0,-0.08926190316795178
NO3N_prop,-0.6478485720165233,-0.02199357503860757,0.26903890170929845,0.14604105935835213,0.0697533843469822,-0.21694643805905142,-0.18744937504394701,0.8617380114308163,-0.08926190316795178,1.0
