,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
ID_Num,326865.0,-12143.138201111673,-12490.151844365846,-12890.173319858519,-14181.683678625568,-12978.171298635676,-11424.811268317333,-13984.118746841837,-11855.06947953512,-11173.029055078325,-12155.48938858009,-11795.128347650329,-10583.770085901971,326865.0
Up1,-12143.138201111673,6489.905293204911,5534.962065577445,6502.256765737203,5849.230586818158,4584.790999943857,4171.595172799241,1095.6123702921082,324.7921103403925,667.7353634883443,6274.3288914919785,4935.93670152766,2629.5492708795873,-12143.138201111673
Up2,-12490.151844365846,5534.962065577445,5741.479537926002,6025.792285666159,6318.941406995666,4718.447335916005,4180.284546067033,939.9192970636122,298.2485346134412,611.2952641625963,5807.001333445618,4495.16728426253,2551.625405648194,-12490.151844365846
Up3,-12890.173319858519,6502.256765737203,6025.792285666159,8409.112352427761,9154.916263187732,6642.55617315142,5484.566613073631,1230.4784265086428,386.6816941522345,876.6660725496506,7549.463212213081,5851.0243771724345,3670.301416387215,-12890.173319858519
Dow1,-14181.683678625568,5849.230586818158,6318.941406995666,9154.916263187732,29839.009137356392,17186.942507439206,13683.19758678241,899.509964730682,171.09030272405738,720.7414141414147,9821.552630907352,7871.918043497129,6028.277855870484,-14181.683678625568
Dow2,-12978.171298635676,4584.790999943857,4718.447335916005,6642.55617315142,17186.942507439206,12025.513839761943,8620.309162876873,750.5813261467629,175.2620010106115,690.5161136376397,6733.3309471674875,5684.871034753806,4144.957498175285,-12978.171298635676
Dow3,-11424.811268317333,4171.595172799241,4180.284546067033,5484.566613073631,13683.19758678241,8620.309162876873,7897.247138132209,503.79203148207705,124.17342781018891,535.7136623945363,5699.653478953242,4908.826534674699,3484.427193103343,-11424.811268317333
Sed1,-13984.118746841837,1095.6123702921082,939.9192970636122,1230.4784265086428,899.509964730682,750.5813261467629,503.79203148207705,69633.47077240313,29898.023161376233,16544.979075239517,1185.6667023953537,1071.8652569147775,1113.6503600941192,-13984.118746841837
Sed2,-11855.06947953512,324.7921103403925,298.2485346134412,386.6816941522345,171.09030272405738,175.2620010106115,124.17342781018891,29898.023161376233,16109.77144333684,10251.182766778473,258.70132987275497,241.27435803206387,610.0538242454866,-11855.06947953512
Sed3,-11173.029055078325,667.7353634883443,611.2952641625963,876.6660725496506,720.7414141414147,690.5161136376397,535.7136623945363,16544.979075239517,10251.182766778473,7450.36155669888,689.8996572598141,644.6776634459809,893.2623858596066,-11173.029055078325
Hil1,-12155.48938858009,6274.3288914919785,5807.001333445618,7549.463212213081,9821.552630907352,6733.3309471674875,5699.653478953242,1185.6667023953537,258.70132987275497,689.8996572598141,7448.1012538216655,5872.129692580181,3560.050548435339,-12155.48938858009
Hil2,-11795.128347650329,4935.93670152766,4495.16728426253,5851.0243771724345,7871.918043497129,5684.871034753806,4908.826534674699,1071.8652569147775,241.27435803206387,644.6776634459809,5872.129692580181,5363.16156512065,3393.4777691008085,-11795.128347650329
Hil3,-10583.770085901971,2629.5492708795873,2551.625405648194,3670.301416387215,6028.277855870484,4144.957498175285,3484.427193103343,1113.6503600941192,610.0538242454866,893.2623858596066,3560.050548435339,3393.4777691008085,3023.7370378877217,-10583.770085901971
OTU_ID,326865.0,-12143.138201111673,-12490.151844365846,-12890.173319858519,-14181.683678625568,-12978.171298635676,-11424.811268317333,-13984.118746841837,-11855.06947953512,-11173.029055078325,-12155.48938858009,-11795.128347650329,-10583.770085901971,326865.0
