,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
Sample,13.0,0.1344590409193451,-0.3936363636363632,-0.004678103367625419,0.14662612733076114,37.19795545454546,18.342061818181815,-0.6304581818181819,0.38430136363636364,-2.448975454545454
moisture_content,0.1344590409193451,0.03434857886113552,-0.09348020892684938,0.03617916837760331,0.4763100252931933,7.175799580294347,3.675349536067139,-0.04929979986157619,0.043555924964046026,-0.07011089829381176
pH,-0.3936363636363632,-0.09348020892684938,0.2725606060606061,-0.09308668832282735,-1.2273603576421577,-19.392240403030303,-9.707582860606063,0.1327779090909091,-0.12351898333333336,0.19461970606060605
N_prop,-0.004678103367625419,0.03617916837760331,-0.09308668832282735,0.06241682780508796,0.8090011715827317,7.275470584003715,3.5281635813848022,-0.04341188686023102,0.004330545905914244,-0.04185785834284608
C_prop,0.14662612733076114,0.4763100252931933,-1.2273603576421577,0.8090011715827317,10.528632425885531,96.36275934625337,46.744708716625745,-0.5926224800931081,0.06298770861699593,-0.6381496858005731
NH4N_prop,37.19795545454546,7.175799580294347,-19.392240403030303,7.275470584003715,96.36275934625337,1725.7058987235241,920.675862358085,-12.079800162436365,12.888333489998484,-25.07231062511212
Si04Si_prop,18.342061818181815,3.675349536067139,-9.707582860606063,3.5281635813848022,46.744708716625745,920.675862358085,503.27911401260604,-6.4181608277818185,7.697651168751516,-13.872812071151518
N02N_prop,-0.6304581818181819,-0.04929979986157619,0.1327779090909091,-0.04341188686023102,-0.5926224800931081,-12.079800162436365,-6.4181608277818185,0.12259243359999998,-0.07004609678181817,0.3309380780363637
PO4P_prop,0.38430136363636364,0.043555924964046026,-0.12351898333333336,0.004330545905914244,0.06298770861699593,12.888333489998484,7.697651168751516,-0.07004609678181817,0.2367166556265152,-0.14447676766515155
NO3N_prop,-2.448975454545454,-0.07011089829381176,0.19461970606060605,-0.04185785834284608,-0.6381496858005731,-25.07231062511212,-13.872812071151518,0.3309380780363637,-0.14447676766515155,1.2850360845424242
