,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
0,7.5,11.0,9.5,9.5,3.5,3.5,3.5,14.0,13.0,12.0,3.5,3.5,3.5,7.5
1,1.5,6.0,7.0,10.0,14.0,13.0,12.0,4.0,3.0,5.0,11.0,9.0,8.0,1.5
2,1.5,14.0,11.0,13.0,7.0,8.0,9.0,4.0,3.0,5.0,12.0,10.0,6.0,1.5
3,6.5,8.0,10.0,9.0,3.0,3.0,3.0,12.0,14.0,13.0,3.0,3.0,11.0,6.5
4,1.5,12.0,11.0,14.0,9.0,6.0,5.0,8.0,3.0,4.0,13.0,10.0,7.0,1.5
5,6.5,9.0,6.5,10.0,2.5,6.5,2.5,12.0,13.0,14.0,2.5,2.5,11.0,6.5
6,1.5,14.0,13.0,8.0,7.0,9.0,12.0,3.0,4.0,5.0,11.0,10.0,6.0,1.5
7,1.5,12.0,13.0,14.0,6.0,9.0,8.0,4.0,3.0,5.0,11.0,10.0,7.0,1.5
8,7.5,9.5,6.0,9.5,3.0,3.0,3.0,14.0,13.0,12.0,3.0,3.0,11.0,7.5
9,2.5,13.0,7.0,9.0,6.0,11.0,14.0,4.0,1.0,5.0,8.0,12.0,10.0,2.5
10,6.5,8.0,9.0,10.0,2.5,5.0,2.5,12.0,14.0,13.0,2.5,2.5,11.0,6.5
11,1.5,13.0,11.0,14.0,12.0,7.0,10.0,4.0,3.0,5.0,8.0,6.0,9.0,1.5
12,8.5,10.0,11.0,6.0,13.0,14.0,12.0,3.0,3.0,3.0,7.0,3.0,3.0,8.5
13,8.5,6.0,7.0,10.0,3.0,3.0,3.0,12.0,13.0,14.0,3.0,3.0,11.0,8.5
14,2.0,8.0,5.0,14.0,10.0,13.0,6.0,4.0,2.0,7.0,12.0,9.0,11.0,2.0
15,6.5,12.0,11.0,9.0,14.0,13.0,10.0,2.0,2.0,2.0,8.0,5.0,4.0,6.5
16,6.5,10.0,8.5,4.5,1.5,3.0,8.5,14.0,13.0,11.0,1.5,4.5,12.0,6.5
17,1.5,6.0,9.0,11.0,13.0,14.0,8.0,4.0,3.0,5.0,10.0,12.0,7.0,1.5
18,2.5,5.5,1.0,9.0,10.0,8.0,4.0,14.0,13.0,12.0,7.0,5.5,11.0,2.5
19,10.5,4.5,9.0,4.5,4.5,4.5,4.5,12.0,14.0,13.0,4.5,4.5,4.5,10.5
20,9.5,7.0,6.0,8.0,3.0,3.0,3.0,12.0,13.0,14.0,3.0,3.0,11.0,9.5
21,2.5,11.0,14.0,12.0,9.0,8.0,7.0,4.0,1.0,5.0,13.0,10.0,6.0,2.5
22,1.5,5.0,7.0,8.0,12.0,13.0,14.0,3.0,4.0,6.0,9.0,11.0,10.0,1.5
23,9.5,6.5,6.5,8.0,3.0,3.0,3.0,12.0,13.0,14.0,3.0,3.0,11.0,9.5
24,1.5,13.0,14.0,12.0,5.0,7.0,9.0,6.0,3.0,4.0,11.0,10.0,8.0,1.5
25,1.5,12.0,14.0,11.0,7.0,8.0,10.0,5.0,3.0,4.0,13.0,9.0,6.0,1.5
26,1.5,10.0,11.0,13.0,7.0,8.0,9.0,4.0,3.0,5.0,14.0,12.0,6.0,1.5
27,8.5,12.0,14.0,6.0,10.0,13.0,11.0,2.5,2.5,2.5,5.0,7.0,2.5,8.5
28,3.5,14.0,13.0,11.0,6.0,7.0,9.0,5.0,1.0,2.0,12.0,10.0,8.0,3.5
29,9.5,6.0,7.5,7.5,3.0,3.0,3.0,12.0,13.0,14.0,3.0,3.0,11.0,9.5
30,9.5,3.5,11.0,14.0,8.0,7.0,3.5,3.5,3.5,3.5,13.0,12.0,3.5,9.5
31,9.5,8.0,7.0,6.0,3.0,3.0,3.0,14.0,13.0,12.0,3.0,3.0,11.0,9.5
32,2.5,6.0,7.0,14.0,10.0,8.0,11.0,4.0,1.0,5.0,12.0,9.0,13.0,2.5
33,8.5,10.0,14.0,12.0,7.0,6.0,5.0,1.0,4.0,2.0,13.0,11.0,3.0,8.5
