,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
0,7.0,4.0,10.0,1.5,6.0,8.0,9.0,3.0,1.5,5.0
1,8.0,4.0,10.0,1.5,6.0,7.0,9.0,3.0,1.5,5.0
2,8.0,4.0,10.0,1.5,5.0,7.0,9.0,3.0,1.5,6.0
3,9.0,3.0,10.0,2.0,7.0,8.0,6.0,4.0,1.0,5.0
4,9.0,3.0,10.0,2.0,6.0,8.0,7.0,4.0,1.0,5.0
5,9.0,5.0,10.0,1.5,6.0,7.0,8.0,4.0,1.5,3.0
6,9.0,5.0,10.0,4.0,7.0,6.0,8.0,2.0,1.0,3.0
7,10.0,3.0,9.0,2.0,6.0,7.0,8.0,4.0,1.0,5.0
8,10.0,4.0,9.0,3.0,7.0,5.0,8.0,2.0,1.0,6.0
9,10.0,5.0,9.0,1.0,6.0,7.0,8.0,3.0,2.0,4.0
10,10.0,5.0,9.0,1.0,6.0,7.0,8.0,3.0,4.0,2.0
11,10.0,5.0,9.0,1.5,6.0,7.0,8.0,4.0,1.5,3.0
